 shot  ray#     dist   amplitude     phase  code
    1    1     2.673   0.262E-01      0.00   1.1
    1    2     6.513   0.232E-01      0.00   1.1
    1    3    11.415   0.200E-01      0.00   1.1
    1    4    16.191   0.177E-01      0.00   1.1
    1    5    20.969   0.160E-01      0.00   1.1
    1    6    25.755   0.145E-01      0.00   1.1
    1    7    31.255   0.133E-01      0.00   1.1
    1    8    36.620   0.123E-01      0.00   1.1
    1    9    41.949   0.115E-01      0.00   1.1
    1   10    47.303   0.109E-01      0.00   1.1
    1   11    52.631   0.104E-01      0.00   1.1
    1   12    58.335   0.996E-02      0.00   1.1
    1   13    64.098   0.977E-02      0.00   1.1
    1   14    69.952   0.982E-02      0.00   1.1
    1   15    75.697   0.100E-01      0.00   1.1
    1   16    80.171   0.102E-01      0.00   1.1
    1   17    84.818   0.102E-01      0.00   1.1
    1   18    89.679   0.101E-01      0.00   1.1
    1   19    94.717   0.979E-02      0.00   1.1
    1   20    99.923   0.955E-02      0.00   1.1
    1    1    96.142   0.536E-03      0.00   2.1
    1    2   104.944   0.935E-03      0.00   2.1
    1    3   112.607   0.133E-02      0.00   2.1
    1    4   119.061   0.170E-02      0.00   2.1
    1    5   121.103   0.221E-02      0.00   2.1
    1    6   123.594   0.280E-02      0.00   2.1
    1    7   125.788   0.323E-02      0.00   2.1
    1    8   127.772   0.339E-02      0.00   2.1
    1    9   130.163   0.341E-02      0.00   2.1
    1   10   132.097   0.345E-02      0.00   2.1
    1   11   134.198   0.360E-02      0.00   2.1
    1   12   136.232   0.385E-02      0.00   2.1
    1   13   137.798   0.411E-02      0.00   2.1
    1   14   139.215   0.425E-02      0.00   2.1
    1   15   140.816   0.429E-02      0.00   2.1
    1   16   142.439   0.430E-02      0.00   2.1
    1   17   143.928   0.429E-02      0.00   2.1
    1   18   145.590   0.427E-02      0.00   2.1
    1   19   147.231   0.422E-02      0.00   2.1
    1   20   148.840   0.414E-02      0.00   2.1
    1   21   150.652   0.405E-02      0.00   2.1
    1   22   152.491   0.399E-02      0.00   2.1
    1   23   154.391   0.399E-02      0.00   2.1
    1   24   156.134   0.401E-02      0.00   2.1
    1    1   145.960   0.345E-02    171.37   2.2
    1    2   141.357   0.355E-02    167.05   2.2
    1    3   131.018   0.375E-02    156.53   2.2
    1    4   122.333   0.412E-02    146.42   2.2
    1    5   112.799   0.483E-02    133.42   2.2
    1    6   104.338   0.599E-02    119.43   2.2
    1    7    97.063   0.745E-02    103.25   2.2
    1    8    90.168   0.852E-02     81.29   2.2
    1    9    83.479   0.791E-02     47.63   2.2
    1   10    77.225   0.548E-02      0.00   2.2
    1   11    70.726   0.312E-02      0.00   2.2
    1   12    64.465   0.191E-02      0.00   2.2
    1   13    58.944   0.140E-02      0.00   2.2
    1   14    53.738   0.111E-02      0.00   2.2
    1   15    48.843   0.939E-03      0.00   2.2
    1   16    44.252   0.840E-03      0.00   2.2
    1   17    39.887   0.803E-03      0.00   2.2
    1   18    35.607   0.825E-03      0.00   2.2
    1   19    31.662   0.903E-03      0.00   2.2
    1   20    27.881   0.103E-02      0.00   2.2
    1   21    24.293   0.119E-02      0.00   2.2
    1   22    20.827   0.137E-02      0.00   2.2
    1   23    17.467   0.157E-02      0.00   2.2
    1   24    14.197   0.175E-02      0.00   2.2
    1   25    10.963   0.187E-02      0.00   2.2
    1    1   213.039   0.622E-03    177.15   3.2
    1    2   212.111   0.624E-03    176.81   3.2
    1    3   217.074   0.136E-02    178.48   3.2
    1    4   201.519   0.139E-02    172.61   3.2
    1    5   197.212   0.144E-02    170.72   3.2
    1    6   191.494   0.151E-02    168.09   3.2
    1    7   184.766   0.159E-02    164.77   3.2
    1    8   176.653   0.171E-02    160.82   3.2
    1    9   168.949   0.188E-02    156.72   3.2
    1   10   162.953   0.212E-02    153.03   3.2
    1   11   156.581   0.245E-02    148.86   3.2
    1   12   150.124   0.285E-02    144.23   3.2
    1   13   144.157   0.328E-02    139.13   3.2
    1   14   138.462   0.369E-02    133.77   3.2
    1   15   133.572   0.404E-02    128.24   3.2
    1   16   128.322   0.435E-02    122.11   3.2
    1   17   123.288   0.465E-02    115.30   3.2
    1   18   118.141   0.500E-02    107.70   3.2
    1   19   112.781   0.544E-02     99.11   3.2
    1   20   108.000   0.598E-02     89.31   3.2
    1   21   103.767   0.650E-02     77.94   3.2
    1   22    99.775   0.677E-02     63.77   3.2
    1   23    96.079   0.652E-02     44.18   3.2
    1   24    92.432   0.566E-02      0.00   3.2
    1   25    88.878   0.447E-02      0.00   3.2
    1   26    85.430   0.334E-02      0.00   3.2
    1   27    82.108   0.252E-02      0.00   3.2
    1   28    78.880   0.197E-02      0.00   3.2
    1   29    75.921   0.160E-02      0.00   3.2
    1   30    72.725   0.133E-02      0.00   3.2
    1   31    69.472   0.113E-02      0.00   3.2
    1   32    66.351   0.973E-03      0.00   3.2
    1   33    63.127   0.864E-03      0.00   3.2
    1   34    60.132   0.786E-03      0.00   3.2
    1   35    57.303   0.729E-03      0.00   3.2
    1   36    54.444   0.689E-03      0.00   3.2
    1   37    51.636   0.665E-03      0.00   3.2
    1   38    48.896   0.655E-03      0.00   3.2
    1   39    46.238   0.660E-03      0.00   3.2
    1   40    43.610   0.678E-03      0.00   3.2
    1   41    41.010   0.709E-03      0.00   3.2
    1   42    38.452   0.752E-03      0.00   3.2
    1   43    35.929   0.807E-03      0.00   3.2
    1   44    33.440   0.875E-03      0.00   3.2
    1   45    30.967   0.953E-03      0.00   3.2
    1   46    28.505   0.104E-02      0.00   3.2
    1   47    26.088   0.114E-02      0.00   3.2
    1   48    23.678   0.124E-02      0.00   3.2
    1   49    21.279   0.132E-02      0.00   3.2
    1   50    18.860   0.137E-02      0.00   3.2
    1    1    85.465   0.415E-02     90.00   4.3
    1    1    97.561   0.386E-02     90.00   4.3
    1    1   110.317   0.309E-02     90.00   4.3
    1    1   123.248   0.203E-02     90.00   4.3
    1    1   135.563   0.121E-02     90.00   4.3
    1    1   147.765   0.756E-03     90.00   4.3
    1    1   160.366   0.519E-03     90.00   4.3
    1    1   173.493   0.384E-03     90.00   4.3
    1    1   186.101   0.299E-03     90.00   4.3
    1    1   197.225   0.239E-03     90.00   4.3
    1    1   207.753   0.194E-03     90.00   4.3
    1    1   219.980   0.161E-03     90.00   4.3
    1    1   232.407   0.135E-03     90.00   4.3
    1    1   244.583   0.115E-03     90.00   4.3
    1    1   256.573   0.100E-03     90.00   4.3
    1    1   268.242   0.873E-04     90.00   4.3
    1    1   280.122   0.765E-04     90.00   4.3
    1    1   292.101   0.698E-04     90.00   4.3
   -2    1   298.623   0.279E-01      0.00   1.1
   -2    2   294.454   0.249E-01      0.00   1.1
   -2    3   289.604   0.216E-01      0.00   1.1
   -2    4   285.149   0.190E-01      0.00   1.1
   -2    5   280.470   0.170E-01      0.00   1.1
   -2    6   275.509   0.152E-01      0.00   1.1
   -2    7   269.970   0.138E-01      0.00   1.1
   -2    8   264.575   0.129E-01      0.00   1.1
   -2    9   259.296   0.124E-01      0.00   1.1
   -2   10   254.039   0.122E-01      0.00   1.1
   -2   11   248.951   0.120E-01      0.00   1.1
   -2   12   244.468   0.119E-01      0.00   1.1
   -2   13   239.981   0.116E-01      0.00   1.1
   -2   14   235.322   0.113E-01      0.00   1.1
   -2   15   230.524   0.108E-01      0.00   1.1
   -2   16   225.540   0.104E-01      0.00   1.1
   -2   17   220.377   0.999E-02      0.00   1.1
   -2   18   215.098   0.963E-02      0.00   1.1
   -2   19   209.751   0.931E-02      0.00   1.1
   -2   20   204.331   0.910E-02      0.00   1.1
   -2    1   208.285   0.828E-03      0.00   2.1
   -2    2   202.164   0.145E-02      0.00   2.1
   -2    3   195.103   0.197E-02      0.00   2.1
   -2    4   192.021   0.226E-02      0.00   2.1
   -2    5   189.152   0.256E-02      0.00   2.1
   -2    6   186.305   0.291E-02      0.00   2.1
   -2    7   183.253   0.325E-02      0.00   2.1
   -2    8   180.414   0.357E-02      0.00   2.1
   -2    9   177.256   0.389E-02      0.00   2.1
   -2   10   175.161   0.423E-02      0.00   2.1
   -2   11   173.283   0.453E-02      0.00   2.1
   -2   12   171.328   0.475E-02      0.00   2.1
   -2   13   169.312   0.490E-02      0.00   2.1
   -2   14   167.525   0.500E-02      0.00   2.1
   -2   15   165.560   0.510E-02      0.00   2.1
   -2   16   163.573   0.522E-02      0.00   2.1
   -2   17   161.751   0.536E-02      0.00   2.1
   -2   18   160.007   0.548E-02      0.00   2.1
   -2   19   158.296   0.556E-02      0.00   2.1
   -2   20   156.516   0.558E-02      0.00   2.1
   -2   21   154.834   0.555E-02      0.00   2.1
   -2   22   153.039   0.547E-02      0.00   2.1
   -2   23   151.238   0.532E-02      0.00   2.1
   -2   24   149.350   0.515E-02      0.00   2.1
   -2   25   147.168   0.503E-02      0.00   2.1
   -2    1   147.182   0.264E-02    180.00   2.2
   -2    2   158.418   0.280E-02    169.58   2.2
   -2    3   168.282   0.311E-02    158.96   2.2
   -2    4   178.186   0.366E-02    146.92   2.2
   -2    5   187.968   0.457E-02    133.50   2.2
   -2    6   197.183   0.574E-02    117.88   2.2
   -2    7   205.036   0.698E-02     98.86   2.2
   -2    8   212.459   0.784E-02     72.48   2.2
   -2    9   219.259   0.714E-02     21.31   2.2
   -2   10   225.542   0.474E-02      0.00   2.2
   -2   11   231.398   0.263E-02      0.00   2.2
   -2   12   236.743   0.165E-02      0.00   2.2
   -2   13   242.020   0.121E-02      0.00   2.2
   -2   14   246.966   0.936E-03      0.00   2.2
   -2   15   251.635   0.767E-03      0.00   2.2
   -2   16   256.032   0.667E-03      0.00   2.2
   -2   17   260.230   0.621E-03      0.00   2.2
   -2   18   264.418   0.625E-03      0.00   2.2
   -2   19   268.304   0.672E-03      0.00   2.2
   -2   20   272.043   0.756E-03      0.00   2.2
   -2   21   275.578   0.866E-03      0.00   2.2
   -2   22   279.000   0.993E-03      0.00   2.2
   -2   23   282.326   0.113E-02      0.00   2.2
   -2   24   285.568   0.125E-02      0.00   2.2
   -2   25   288.779   0.133E-02      0.00   2.2
   -2    1    64.031   0.120E-02    177.32   3.2
   -2    2    64.480   0.120E-02    177.11   3.2
   -2    3    66.513   0.120E-02    176.17   3.2
   -2    4    70.681   0.120E-02    174.22   3.2
   -2    5    77.401   0.122E-02    171.15   3.2
   -2    6    87.950   0.126E-02    166.97   3.2
   -2    7    98.480   0.134E-02    162.35   3.2
   -2    8   105.830   0.148E-02    158.60   3.2
   -2    9   113.412   0.167E-02    154.39   3.2
   -2   10   120.158   0.191E-02    150.35   3.2
   -2   11   127.255   0.222E-02    145.76   3.2
   -2   12   134.242   0.258E-02    140.64   3.2
   -2   13   141.280   0.298E-02    135.00   3.2
   -2   14   147.683   0.340E-02    129.10   3.2
   -2   15   153.025   0.382E-02    122.95   3.2
   -2   16   158.506   0.419E-02    116.08   3.2
   -2   17   163.662   0.452E-02    108.39   3.2
   -2   18   168.835   0.481E-02     99.65   3.2
   -2   19   174.047   0.507E-02     89.59   3.2
   -2   20   179.017   0.527E-02     77.96   3.2
   -2   21   184.001   0.530E-02     63.66   3.2
   -2   22   188.928   0.501E-02     43.80   3.2
   -2   23   193.514   0.434E-02      0.00   3.2
   -2   24   197.903   0.346E-02      0.00   3.2
   -2   25   202.009   0.264E-02      0.00   3.2
   -2   26   205.933   0.205E-02      0.00   3.2
   -2   27   209.736   0.165E-02      0.00   3.2
   -2   28   213.266   0.139E-02      0.00   3.2
   -2   29   216.794   0.119E-02      0.00   3.2
   -2   30   220.269   0.103E-02      0.00   3.2
   -2   31   223.751   0.913E-03      0.00   3.2
   -2   32   227.033   0.819E-03      0.00   3.2
   -2   33   230.323   0.746E-03      0.00   3.2
   -2   34   233.476   0.691E-03      0.00   3.2
   -2   35   236.574   0.650E-03      0.00   3.2
   -2   36   239.614   0.622E-03      0.00   3.2
   -2   37   242.549   0.606E-03      0.00   3.2
   -2   38   245.624   0.602E-03      0.00   3.2
   -2   39   248.528   0.609E-03      0.00   3.2
   -2   40   251.436   0.629E-03      0.00   3.2
   -2   41   254.364   0.659E-03      0.00   3.2
   -2   42   257.252   0.701E-03      0.00   3.2
   -2   43   260.107   0.755E-03      0.00   3.2
   -2   44   262.928   0.818E-03      0.00   3.2
   -2   45   265.724   0.891E-03      0.00   3.2
   -2   46   268.498   0.971E-03      0.00   3.2
   -2   47   271.260   0.106E-02      0.00   3.2
   -2   48   274.001   0.114E-02      0.00   3.2
   -2   49   276.722   0.122E-02      0.00   3.2
   -2   50   279.447   0.126E-02      0.00   3.2
   -2    1   204.051   0.328E-02     90.00   4.3
   -2    1   191.770   0.320E-02     90.00   4.3
   -2    1   179.226   0.280E-02     90.00   4.3
   -2    1   167.349   0.199E-02     90.00   4.3
   -2    1   155.901   0.122E-02     90.00   4.3
   -2    1   144.234   0.768E-03     90.00   4.3
   -2    1   132.017   0.528E-03     90.00   4.3
   -2    1   119.402   0.388E-03     90.00   4.3
   -2    1   108.062   0.298E-03     90.00   4.3
   -2    1    97.873   0.237E-03     90.00   4.3
   -2    1    85.847   0.196E-03     90.00   4.3
   -2    1    73.621   0.167E-03     90.00   4.3
   -2    1    62.555   0.144E-03     90.00   4.3
   -2    1    51.696   0.124E-03     90.00   4.3
   -2    1    40.745   0.107E-03     90.00   4.3
   -2    1    29.760   0.921E-04     90.00   4.3
   -2    1    18.569   0.805E-04     90.00   4.3
   -2    1     7.295   0.735E-04     90.00   4.3
